csfgID,ra,dec,X0,Y0,PA,ell,n,I_e,r_e,z,R_e_kpc,logMstars
15878,180.139428566104,-0.734070679246824,118.9805,119.5209,111.402,0.179586,1.13246,7.63723,0.0059850009047136,0.06273219,1.4911663761136014,9.277
15922,168.575031369026,-0.464515005077417,120.2985,119.4984,-38.8997,0.340057,0.969609,3.91432,0.011726176825439999,0.07235449,3.3315152425289245,9.605
16007,187.47655590926,-0.0553422355655104,119.4615,120.3808,-22.5538,0.0660838,1.0575,19.1981,0.0050358297284064,0.02315128,0.48520186726784487,
16103,141.773857340692,4.71440472661314,119.8499,120.8073,36.7392,0.397999,1.32961,13.9781,0.006486546029779199,0.06078899,1.5698335072871263,9.247
16206,206.914680563826,1.71185985133337,119.4049,119.4908,24.1333,0.0634707,0.605893,12.05,0.00508484558736,0.07708012,1.5307885720867267,9.694
16217,9.33599624838268,-0.163807193719355,120.5778,119.5958,35.4075,0.247731,1.20692,9.96228,0.007757162850729599,0.04653296,1.460926734285285,9.573
16563,184.324964169438,-0.931807812962279,120.3637,120.1445,69.8497,0.571676,0.895915,5.35681,0.0102503254392,0.08070435,3.2177244108687058,9.935
16588,169.844688304345,3.98751974014954,118.6228,120.1844,-4.94081,0.442884,1.23323,4.25052,0.009863199520944001,0.1083765,4.0267176458698195,10.049
16644,198.439281800334,-1.02022417184989,119.5227,120.015,-46.3442,0.488305,0.788045,8.65552,0.008405429757648,0.07257293,2.3946697487815114,9.45
16695,225.945355849675,43.5203687019041,119.498,120.6204,-4.13192,0.0,0.773856,4.79293,0.007266197918548799,0.08859123,2.480538037643572,
16723,170.084371456568,1.15268745973772,120.0116,119.9718,61.9632,0.221017,0.761484,10.2261,0.0063165299048544,0.06929749,1.7248616521361042,9.667
16967,17.9907578846231,0.409485809505825,120.1348,120.059,46.5865,0.392743,1.75361,6.8777,0.010169365379712001,0.04371929,1.8056572685779966,9.658
17019,199.077517606726,2.00528010874251,120.1801,119.8351,-23.4645,0.415747,1.33058,5.78495,0.008326017224448,0.0360021,1.2285471657063773,8.679
17025,232.498237214981,42.9072188534901,122.085,120.0656,-6.90719,0.766518,1.08275,5.30559,0.005690783577864,0.09191861,2.007987736113673,9.838
17083,215.682647698931,-1.90410856955844,119.4845,119.0444,40.6349,0.446947,0.833967,3.77997,0.007151347033353599,0.1010828,2.7463855438541303,9.907
17117,9.44609417372577,0.16370702326036,119.9502,120.4811,16.638,0.0118098,1.51849,6.97974,0.0072360944598096,0.07474857,2.1180765104942405,9.869
17199,219.287218131453,3.49310589030241,119.9502,120.759,-52.9443,0.30063,1.47234,7.55414,0.010434725413728,0.03284242,1.4095571578561357,9.314
17312,164.855684528671,4.41950703184438,120.1171,120.2766,-92.0933,3.41242E-7,1.34309,7.37734,0.0060508196412048,0.06231436,1.4982931129154657,9.666
17316,34.1813624116026,-0.602374030265179,119.8141,119.4972,24.6103,0.276132,1.41519,25.3132,0.003810457689192,0.04913517,0.7554063187400918,9.319
17406,38.1976200980614,0.678089436118514,119.4655,120.0938,110.589,0.422909,1.68627,21.969,0.01100006120136,0.02283115,1.0456429606576831,8.893
17452,23.5579780806488,-0.85884870764937,120.4228,119.661,109.57,0.133392,1.46009,5.67232,0.008051347598078401,0.06804897,2.1621473176524435,9.544
17517,144.924039210049,4.75167983889179,119.5114,121.2024,-34.8787,0.262864,1.32273,11.915,0.0078796699186128,0.02780315,0.9064267965242668,9.381
17565,233.528612211169,43.4936772015817,119.8655,118.5865,61.4886,0.324231,0.666288,12.0899,0.011310951087744001,0.06195767,2.785990397519061,9.973
17566,347.41564814383,-1.12525014701058,120.357,119.3921,71.9372,0.217187,0.817488,5.16818,0.00964271774928,0.09168664,3.3947361844137736,9.883
17589,242.94096579295,43.5121948070727,118.7253,121.2458,72.2473,0.177048,1.52034,4.89787,0.009445530320688,0.03697142,1.4297328291921927,9.194
17607,145.258172163461,1.63462932757755,120.459,119.7816,-22.103,0.348066,0.736417,12.5703,0.00933565595424,0.05125898,1.9259430595709761,9.777
17811,177.306432631071,4.79522734949777,119.6593,120.3103,18.3343,0.167449,1.07015,5.35288,0.007032220088678399,0.09422139,2.5368404883101388,
17824,155.889501863748,4.21622548600965,120.5879,119.562,-69.9596,0.0,0.904112,3.95823,0.009780366140159999,0.06324661,2.455219217235388,9.391
17922,152.53157352466,3.52514090022987,119.7463,120.5569,-47.379,0.198112,1.637,9.65916,0.007088264974929601,0.03198753,0.9334943651947386,9.176
17979,135.595434852208,0.0392449806675282,120.2119,119.7212,-73.7637,0.188645,1.10848,15.5851,0.0045213505415232,0.0405562,0.747726577534004,8.925
17994,162.988015506734,3.22407843764603,120.4129,119.55,9.9576,0.385938,0.827721,4.94741,0.010490517808847999,0.04092485,1.7498223096156296,9.178
18054,18.7465089941027,0.206571278216007,120.0262,119.5955,77.7313,0.0390754,1.36825,6.23498,0.0062274005355408,0.06019728,1.493551148772273,9.311
18173,222.974438078045,4.13078374579644,120.5247,120.4464,111.674,0.249201,1.0231,10.5841,0.0061869449404223995,0.1421195,3.1888284339639146,10.189
18339,220.921031798934,-1.07912703183331,120.0862,120.1366,62.8246,0.467619,1.47525,6.44371,0.011318770167936002,0.0824862,3.623757067872145,10.099
18452,157.375395832283,1.06004715475755,120.5054,120.5216,-87.6819,0.106331,1.83568,9.54495,0.010852231716479999,0.02852034,1.2794680128258498,9.538
